Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7  ,Feat8,Feat9,Turbvalue
0.17391,0.00073618,0.40625,0.63314,0.44134,0.15128,0.44203,0.0082685,0.14923,0.2
0.13043,0.00092746,0.36719,0.55621,0.64246,0.10986,0.37634,0.028837,0.10844,1
0.26087,0.0026302,0.19531,0.42604,0.52514,0.24205,0.4459,0.0051742,0.23877,0.02
0.086957,0.0052062,0.48438,0.6568,0.51955,0.056741,0.37845,0.015757,0.056344,1
0.30435,0.0010335,0.16406,0.40237,0.74302,0.27454,0.46167,0.013282,0.27085,0.02
0.15217,0.0071426,0.39063,0.59763,0.93296,0.12812,0.43108,0.021656,0.1258,1
0.19565,0.00078215,0.42969,0.69822,0.2514,0.16842,0.43492,0.0087177,0.16615,0.2
0,0.0030108,0.375,0.46154,0.32961,0.0081654,0.46108,0.0064949,0.0079528,1
0.28261,0.0017508,0.16406,0.40237,0.67039,0.25677,0.42617,0.0037915,0.25332,0.02
0.26087,0.0022223,0.19531,0.40828,0.48603,0.24238,0.44131,0.005697,0.23914,0.02
0.021739,0.0020833,0.375,0.4497,0.24022,0.025303,0.44337,0.0063541,0.024993,1
0.13043,0.0010124,0.49219,0.72781,0.22346,0.10503,0.4304,0.0096025,0.10368,0.2
0.23913,0.00093673,0.33594,0.68639,0.47486,0.20993,0.45438,0.0056035,0.20713,0.04
0.21739,0.00095592,0.20313,0.38462,0.36872,0.19435,0.45494,0.0047697,0.19176,0.02
0.32609,0.038151,0.046875,0.11834,0.80447,0.27365,0.48488,0.010681,0.26915,0.0002
0.32609,0.0040951,0.046875,0.11834,0.6648,0.27852,0.71438,0.20242,0.27475,0.0002
0.065217,0.0011846,0.46875,0.6213,0.64804,0.058404,0.4253,0.022276,0.057621,1
0.41304,0.0056868,0.039063,0.15976,0.63687,0.34924,0.41396,0.014997,0.34453,0.0002
0.30435,0.0021103,0.15625,0.38462,0.59218,0.27022,0.41079,0.011871,0.2666,0.02
0.30435,0.00072873,0.17188,0.43787,0.43575,0.27685,0.45898,0.0097952,0.27312,0.02
0.28261,0.0018689,0.17969,0.40828,0.60335,0.24872,0.44833,0.014991,0.24534,0.02
0.21739,0.00091553,0.39844,0.57988,0.19553,0.18773,0.42786,0.010249,0.18525,0.2
0.41304,0.0072923,0.046875,0.18935,0.74302,0.33636,0.41859,0.0023634,0.33178,0.0002
0.065217,0.0037134,0.40625,0.35503,0.67039,0.041867,0.4197,0.008624,0.041363,1
0.1087,0.0011779,0.42969,0.61538,0.3743,0.099099,0.4479,0.0076233,0.097744,0.2
0.086957,0.00077664,0.40625,0.53846,0.30168,0.072717,0.38894,0.023687,0.071728,0.2
0.28261,0.00077836,0.3125,0.66864,0.36313,0.23926,0.43629,0.010843,0.23607,0.04
0.17391,0.00084793,0.47656,0.86391,0.44693,0.16079,0.45169,0.01282,0.15865,0.2
0.086957,0.00087646,0.48438,0.66864,0.47486,0.07273,0.40024,0.01995,0.071746,1
0.30435,0.0013991,0.17188,0.4142,0.67598,0.25834,0.39161,0.015366,0.25484,0.02
0.41304,0.0051691,0.039063,0.15976,0.61453,0.34838,0.38574,0.021687,0.3436,0.0002
0.26087,0.00040791,0.21094,0.42604,0.46927,0.22013,0.44878,0.050797,0.21719,0.02
0.30435,0.0026464,0.15625,0.42604,0.59777,0.26191,0.46025,0.018198,0.25841,0.02
0.13043,0.0035729,0.42969,0.66272,0.36313,0.11904,0.43345,0.0094443,0.11782,0.4
0.26087,0.000558,0.28125,0.60355,0.48045,0.23011,0.40108,0.014869,0.22703,0.04
0.23913,0.059544,0.054688,0.10651,0.78212,0.30267,0.44648,0.003516,0.29618,0.0002
0.19565,0.00095384,0.28125,0.52663,0.38547,0.17929,0.42385,0.0064956,0.17686,0.04
0.1087,0.011103,0.42969,0.61538,0.31285,0.074241,0.45186,0.0052048,0.073301,0.4
0.15217,0.00033974,0.38281,0.59172,0.68156,0.12532,0.47918,0.025878,0.12365,1
0.1087,0.00071407,0.34375,0.49112,0.32402,0.088249,0.40445,0.020385,0.087066,0.2
0.32609,0.0097719,0.054688,0.14201,0.85475,0.26162,0.39097,0.011612,0.25778,0.0002
0,0.0033899,0.375,0.42604,0.31844,0.0091693,0.43363,0.0069032,0.0093082,1
0.23913,0.0011169,0.30469,0.61538,0.42458,0.20934,0.43295,0.007871,0.20653,0.04
0.30435,0.00098262,0.17969,0.43787,0.50838,0.26884,0.42109,0.016926,0.26524,0.02
0.1087,0.0011437,0.47656,0.69822,0.43017,0.10192,0.45176,0.0088567,0.10056,0.2
0.19565,0.0014446,0.24219,0.44379,0.30726,0.177,0.3921,0.017552,0.17461,0.04
0.26087,0.00053735,0.35156,0.71006,0.58659,0.21707,0.45621,0.014856,0.21417,0.04
0.086957,0.005194,0.32813,0.49112,0.55307,0.10048,0.44265,0.007011,0.099115,0.4
0.086957,0.0010483,0.375,0.52663,0.21229,0.073714,0.42812,0.007585,0.072763,0.2
